name,score,title,place,date,verified purch,text,upvotes,language
JD,1,THIS UNIT IS USED!!!!! Not new !,the United States ,20180818,True,"  I’d give zero stars if I could.  Buyer Beware.  This is a used unit, and mine didn’t even work properly.  The disc drive didn’t work, so I contacted Microsoft onkhbrk find out my warranty expires in 5 months instead of a year.  So in other words this is a used unit not new!  So I’m sending it back without the box since I threw that out a week ago.  I was only playing downloaded games and today decided to put in a disc.  Low and behold the used Xbox didn’t work.  Getting a refund",218,english
Daniella,1,Such a disappointment! Didn’t even work!,the United States ,20181127,True,"  If I could give this product zero stars, I would. It didn’t even arrive at my house, I had to pick it up from some quick mart liquor store. Then once I opened it and set everything up, IT DIDNT EVEN TURN ON! I tried everything to fix the problem. Using a different outlet, waiting a while to restart it, using a different cord. Nothing worked so I took it to my friend who fixes electronics and he said it’s nonrepairable. The only that worked was the remote controller which I gave to my brother and the game it came with.",121,english
dewyer p,1,Beware. It could be used,the United States ,20181127,True,  This was a used console. I was very disappointed. I was expecting a new one.,112,english
Kenny Hobson,5,Xbox Is Awesome,the United States ,20171014,True,  Had some delivery issues but yeah It arrived in the box unopened as should. I replaced my big bulky black Xbox One Day One Edition with this. And let me just say this thing feels way more then 40% smaller! It looks like more then 50% smaller! This will be my new xbox pretty much forever unless they release another one after the Xbox One X.,126,english
Alexis Brennan,5,Must buy,the United States ,20180905,True,"  Slimmer design than Xbox one, button to turn on is actual button so u don’t accidentally turn it off, controller has aux jack for headphones, uses same rechargeable batteries as originial Xbox one, and the controller has a different textured grip, USB jack in front for easy access for rechargeable wire, it’s 1TB so you’ll never run out of space, came with month free of Xbox live and free game pass, Great console for great price",49,english
kris suitos,5,Seller is amazing....would buy from him again,the United States ,20180427,True,"  My son got his first job and wanted to buy himself something. He ordered this. When the unit came the controller had a rattling noise and the cord to the unit fit loosely.  My son set up the unit and everything else seemed to work ok. The seller immediately sent me an email once the item was ordered letting me know that if there are any issues to please contact him immediately.  Since it was not something I used on a daily basis I kept forgetting to ask my son if everything was working properly. The seller followed up with another email and I finally asked my son if everything was good with his purchase.  My son repeated to me that the controller was not the best and the power cord was loose and he had to keep fixing it. I emailed the seller who immediately sent a new controller. Still waiting on the power cord, but I would purchase from this seller anytime. He is big on customer service and selling a good quality product. I greatly appreciated the email follow up to ensure that we were happy with the purchase we had made. My son was so happy to have a controller that worked properly.",68,english
M. Koller,4,Bit of a glitchy model.,the United States ,20180830,True,"  Shipment was very quick. However, when I pulled it out of the box and began setting it up, I did notice that the supplied hard drive has a few problems. Applications hang at times, and games saved to the hard drive have occasionally crashed requiring a return to the Home screen or a full restart of the console. It could just be my model, but it is a disappointment for a machine that is supposed to be incredibly powerful based on the hardware it comes with.",34,english
THOUVY,5,Family time!,the United States ,20180315,True,  arived brand new. Great packaging! Very happy!,31,english
Fabian M.,4,USED/REFURBISHED,the United States ,20190427,True,"  The Xbox one I received was very well packaged, although finding out these units are used the hard way was a big hit in the gut. I wish the seller was honest and mentioned it was refurbished. Other than very minor scuff(s) and the entrance to the power cord was off it's axis from inside the Xbox by like 3cm and made  me have to use more force to install a simple power cord and only Because it's off by those 3cm. In other words this unit of mine particularly the one I got. May have been (opened) for repairs. Warranty sticker is still intact. But from my expiereice those are easy to remove and Put on again other than that perfmance is great runs all my games connects toy WiFi with no issues. Comes with 1 controller no game. Reason for 4 stars is because I wish the seller was more honest and TOLD us the customer these are used units.",6,english
Xylem,5,Great Buy!,the United States ,20190303,True,"  The price on this Xbox One was great. I saw some of the reviews that said the unit that they received was used, and I was a bit worried. However, mine appeared to be new and packaged in the original packing with no sign of it having been used or refurbished. I have only used it for a few days, but so far, it is working perfectly and I couldn't be happier.",9,english
