name,score,title,place,date,verified purch,text,upvotes,language
Amazon Customer,1,Third is wrong,the United States ,20201125,False,  This should be illegal. What a scummy thing to do.,1418,english
duwyne,1,Horrible,the United States ,20201113,False,  Hope you never sell them,1734,english
Jose C,1,Wait for the stock to replenish,the United States ,20201114,False,"  Wait for the stock to replenish, all games are backwards compatible. don't feed the Trolls",1313,english
Dustwaj,1,Overpriced,the United States ,20201125,False,"  How dare you Amazon!  $1,500.00?  Thats not cool dude.",871,english
Jason Japa,1,Overpriced,the United States ,20201125,False,  annoying,793,english
SP,1,WE ARE THE BETA TESTERS,the United States ,20201125,False,"  I get it. Supply and demand, but seriously? Literally triple the price? PC master race... here I come... Get a nitro 5 instead of this deal. The entire reason consoles were so popular were the affordability. By all means, if you can buy it, it's a great machine. It seems like we are all beta testers and game companies are just releasing garbage games and fixing the issues on their time... simple fixes take months not days. Smh.",643,english
blake,1,How does amazon allow this?,the United States ,20201207,False,  $1400? Really? I hope you end up stuck with them.How does amazon allow this type of activity?,465,english
Stephen J Morley,5,"It’s huge, but it’s awesome.",the United States ,20201110,True,"  It’s a behemoth simple put. Besides that it is a really amazing console. Just setting it up and downloading a few games for my son, I could really notice the download speed and performance upgrades. Does not run hot so far it has been running terratech in 4K hdr for about half hour. See picture. The Xbox one x would easily hit 150 degrees Fahrenheit.",367,english
Meghan Pennington,5,I'm genuinely blown away.,the United States ,20201110,True,"  Let me start off by saying I am not an Xbox fan boy lol. I have mostly played PS4 and PC  in the past few years. I was very intrigued with Xbox series X because of the user experience. They really seem like they were listening with this generation and it shows. The UI interface is like butter it moves so quickly, with hardly any waiting. Game pass which is an amazing option only on Xbox and PC has an amazing selection of games right at my fingertips for a monthly fee. Xbox really got the user experience down I can honestly say that it was definitely worth it. I've been enjoying a lot of games that I played on PC and I am confident in saying that I have such a great experience on Xbox series X I'm blown away. It gets a little hot but I have it in a very breathable location. ( I would recommend that as well ) I'm excited to play all the Xbox one games I missed out on! (And new games of course) Overall I really recommend it.",174,english
Brenda H.,1,Should Be Illegal,the United States ,20201125,False,"  Microsoft should try to get control over this.  Should be illegal for one person to secure 7 and rip people off like this while everyone tries over and over to get one, but can't.",177,english
