name,score,title,place,date,verified purch,text,upvotes,language
Yuzo,5,It makes me happy,the United States ,20180816,True,  It distracts me from the fact that I have no friends,1972,english
Sarah,1,Do not buy any Sony products through Amazon!,the United States ,20180907,True,"  Worked for a few months beforethe hard drive died for no apparent reason. The power supply works only to display a hard drive failure message. After contacting Sony and Amazon, Sony admits there was a hard drive issue with the model but claims Amazon is responsible to replace it, Amazon claims Sony is responsible to replace it. Do not buy a Sony products through amazon!",849,english
Junior,1,Scaaaamed!,the United States ,20181030,True,"  I just realize this now, year later it's not 1tb it's 500 gbs LOOL! I deserve this for not knowing sooner",646,english
Nobody Important,5,"A great all-in-one console,",the United States ,20180228,True,"  I really love my new PS4 Slim, it's great, easy to setup and has a tons more options.Pros:Current Gen Console as of 2/28/2018Alot faster than the PS3 in generalTons of free gamesPlaystation Now is a pretty decent deal and has a wide selectionTons of media apps like netflix, hulu, amazon video, funimation, etc...Controller allows you to change brightness of glowTons of customization options to suit your console to you (including high contrast)Playstation plus seems to offer better deals for digital.Cons:No more composite output, which means I can't get audio through my pc the easy wayWhen you are downloading many items there can be menu lagSome apps tend to glitch and close application isn't an option. However, you can easily just restart.I got this because I had no reason to get the PS4 Pro, I don't have a 4K TV nor do I really care about 4K Gaming (and the 6-8 games that are supported for 4K on the Pro.) Honestly I just found this to be a better deal, as the Pro just seems to be a lazy cashgrab. It definitely is slim and fits into pretty much any keyboard space (for those of you with multiple desks like me.)Pretty much the ideal console in my opinion.",364,english
Yinong,5,Slim is just fine.,the United States ,20170823,True,"  If you do not have a 4K TV, then you do not need PS4 pro.Slim is just fine.",685,english
Shariece,5,So much faster than Original Playstation 4,the United States ,20171128,True,"  I’ve had the original PS4 system since it came and and have long run out of space on the 500GB hard drive so I decided to buy a newer updated version of the PS4.. the ps4 slim is awesome. There is a very noticeable performance between my slim and the original. The network connection on my slim is twice as good, games load much faster, download times are much quicker and most importantly I have twice as much HD space for games. I don’t even play a lot of games but still somehow ran out. If you’re noticing a decline in performance on your original ps4 you should definitely invest in a new with plus you can add on a 4 year warranty.",351,english
Lost Pathfinder,5,Excellent,the United States ,20180918,True,"  So. This was an easy process. Up until the software update. NOTHING TO DO WITH THE SELLER. In short please place a few hours aside for the software update.  Each game you buy will have game updates. Each app you install (Amazon Netflix etc);will need to update . Very easy to use but put some time aside (if u have kids dont tell them you have it until updates are installed.Clean packed great all items included. No issues and, so far (less than 24 hrs), works fine",150,english
J S.,5,"AMAZON provided an excellent Product, Excellent protection to ship",the United States ,20171213,True,"  AMAZON provided an excellent Product, Excellent protection to ship, and Excellent Product PS 4 - I have had all the previous Playstation Game machines, and do warn PS 4 buyers that SONY has never implemented ability to play U R PS 2 or PS 3 games on its PS4 system.PS 4 literature in box says they have BACKWARD COMPATIBILITY - but that is a ""LIE"".XBOX ONE does have BACKWARD COMPATIBILITY on previous games. NOT SONY w/ its PS4.The PS4 is an excellent product w/ 1 T'bite Storage and also uses less electricity than the 500GB storage models.AMAZON packaging was great when received. no complaints there. No complaints of the PS 4 either at this stage.So far I love it!But hate the NO PS 4 backward Compatibility, even with PLAYSTATION PLUS which is required to play & view ONLINE INTERNET.So Buyers who want to get in on PS 4 ground floor BUY only games that have ability to PLAY standalone, to get started.",210,english
Lyn Torres,1,Wrong item received!,the United States ,20181217,True,"  Very disappointed, I received the 500gb PS4 instead of the 1tb I purchased.Also, serial number is a bit shady, it starts with MG instead of the normal MC or MB.It says “Amazon’s Choice” on the item so I bought it with confidence...Will return and will never buy consoles on Amazon again.",87,english
chefhoeyardee,1,STOPPED WORKING FIRST FEW MINUTES,the United States ,20190222,True,"  Seriously DO NOT BUY THIS. I was looking forward to this all week, even got a game and headset for it. I come home, hook it up, and it works just fine. I'm going through setting up my account and as I'm putting in my card info for PlayStation plus, it shuts off out of no where. I try to plug it into a different outlet, still doesn't work. I press the power button, nothing. When it does come on, it's on for no longer than a few minutes. I can hear a slight staticy sound when I move the power cord around. Sometimes it'll even shut off with a static screen on the TV as it shuts off. This isn't just a simple overheating problem, this is a defective console. I'm assuming the seller receives faulty consoles that other unhappy consumers have returned and just resells them for cheap instead of actually fixing them. RIDICULOUS. Now I have to wait over a week to get my money back and I MIGHT try to get a different console, but you can bet I'm staying FARRRR away from Amazon. Thanks for wasting my time.",68,english
