name,score,title,place,date,verified purch,text,upvotes
JD,1.0 out of 5 stars,THIS UNIT IS USED!!!!! Not new !,the United States ,August 18 2018,Verified Purchase,"  I’d give zero stars if I could.  Buyer Beware.  This is a used unit, and mine didn’t even work properly.  The disc drive didn’t work, so I contacted Microsoft onkhbrk find out my warranty expires in 5 months instead of a year.  So in other words this is a used unit not new!  So I’m sending it back without the box since I threw that out a week ago.  I was only playing downloaded games and today decided to put in a disc.  Low and behold the used Xbox didn’t work.  Getting a refund",218 people found this helpful
Daniella,1.0 out of 5 stars,Such a disappointment! Didn’t even work!,the United States ,November 27 2018,Verified Purchase,"  If I could give this product zero stars, I would. It didn’t even arrive at my house, I had to pick it up from some quick mart liquor store. Then once I opened it and set everything up, IT DIDNT EVEN TURN ON! I tried everything to fix the problem. Using a different outlet, waiting a while to restart it, using a different cord. Nothing worked so I took it to my friend who fixes electronics and he said it’s nonrepairable. The only that worked was the remote controller which I gave to my brother and the game it came with.",121 people found this helpful
dewyer p,1.0 out of 5 stars,Beware. It could be used,the United States ,November 27 2018,Verified Purchase,  This was a used console. I was very disappointed. I was expecting a new one.,112 people found this helpful
Kenny Hobson,5.0 out of 5 stars,Xbox Is Awesome,the United States ,October 14 2017,Verified Purchase,  Had some delivery issues but yeah It arrived in the box unopened as should. I replaced my big bulky black Xbox One Day One Edition with this. And let me just say this thing feels way more then 40% smaller! It looks like more then 50% smaller! This will be my new xbox pretty much forever unless they release another one after the Xbox One X.,126 people found this helpful
Alexis Brennan,5.0 out of 5 stars,Must buy,the United States ,September 5 2018,Verified Purchase,"  Slimmer design than Xbox one, button to turn on is actual button so u don’t accidentally turn it off, controller has aux jack for headphones, uses same rechargeable batteries as originial Xbox one, and the controller has a different textured grip, USB jack in front for easy access for rechargeable wire, it’s 1TB so you’ll never run out of space, came with month free of Xbox live and free game pass, Great console for great price",49 people found this helpful
kris suitos,5.0 out of 5 stars,Seller is amazing....would buy from him again,the United States ,April 27 2018,Verified Purchase,"  My son got his first job and wanted to buy himself something. He ordered this. When the unit came the controller had a rattling noise and the cord to the unit fit loosely.  My son set up the unit and everything else seemed to work ok. The seller immediately sent me an email once the item was ordered letting me know that if there are any issues to please contact him immediately.  Since it was not something I used on a daily basis I kept forgetting to ask my son if everything was working properly. The seller followed up with another email and I finally asked my son if everything was good with his purchase.  My son repeated to me that the controller was not the best and the power cord was loose and he had to keep fixing it. I emailed the seller who immediately sent a new controller. Still waiting on the power cord, but I would purchase from this seller anytime. He is big on customer service and selling a good quality product. I greatly appreciated the email follow up to ensure that we were happy with the purchase we had made. My son was so happy to have a controller that worked properly.",68 people found this helpful
M. Koller,4.0 out of 5 stars,Bit of a glitchy model.,the United States ,August 30 2018,Verified Purchase,"  Shipment was very quick. However, when I pulled it out of the box and began setting it up, I did notice that the supplied hard drive has a few problems. Applications hang at times, and games saved to the hard drive have occasionally crashed requiring a return to the Home screen or a full restart of the console. It could just be my model, but it is a disappointment for a machine that is supposed to be incredibly powerful based on the hardware it comes with.",34 people found this helpful
THOUVY,5.0 out of 5 stars,Family time!,the United States ,March 15 2018,Verified Purchase,  arived brand new. Great packaging! Very happy!,31 people found this helpful
Fabian M.,4.0 out of 5 stars,USED/REFURBISHED,the United States ,April 27 2019,Verified Purchase,"  The Xbox one I received was very well packaged, although finding out these units are used the hard way was a big hit in the gut. I wish the seller was honest and mentioned it was refurbished. Other than very minor scuff(s) and the entrance to the power cord was off it's axis from inside the Xbox by like 3cm and made  me have to use more force to install a simple power cord and only Because it's off by those 3cm. In other words this unit of mine particularly the one I got. May have been (opened) for repairs. Warranty sticker is still intact. But from my expiereice those are easy to remove and Put on again other than that perfmance is great runs all my games connects toy WiFi with no issues. Comes with 1 controller no game. Reason for 4 stars is because I wish the seller was more honest and TOLD us the customer these are used units.",6 people found this helpful
Xylem,5.0 out of 5 stars,Great Buy!,the United States ,March 3 2019,Verified Purchase,"  The price on this Xbox One was great. I saw some of the reviews that said the unit that they received was used, and I was a bit worried. However, mine appeared to be new and packaged in the original packing with no sign of it having been used or refurbished. I have only used it for a few days, but so far, it is working perfectly and I couldn't be happier.",9 people found this helpful
Lonely Neuron,3.0 out of 5 stars,"Working well now, but...",the United States ,October 8 2018,Verified Purchase,"  The console/controller and a 2nd controller ordered separately arrived promptly, but had two problems (one real and one perceived). The perceived problem was that the power cord could not be securely plugged into the back of the console. After a 30-minute drive to the local Microsoft store, it was demonstrated that if one pushed very (and I mean *very*) hard the plug would insert securely. The other problem was that the controller that came with the console would randomly fail to operate - becoming inoperative after anywhere from a minute to an hour (the separately ordered 2nd controller operated flawlessly). The Microsoft store gladly swapped my defective controller for a new one (though I had to accept a black one rather than white). The new controller is working perfectly.",6 people found this helpful
L. Christenson,1.0 out of 5 stars,"If Buying for Christmas, Know that You only have a 30 Day Return Window.",the United States ,November 7 2018,Verified Purchase,"  I am trying to complete my Christmas shopping early but learned upon receiving the item that I only have a 30 day return window.  So if the item does not work on Christmas day, I won't be able to return it which will disappoint me and my kids.  I believe this return window should be clearly stated up front.",10 people found this helpful
Gordon,5.0 out of 5 stars,Xbox One for 200$,the United States ,June 21 2019,Verified Purchase,"  Made sure i got the one with a bluray and not the one without a cdrom. Basically i use this as my Hulu/Prime video machine i'm not a console gamer but my fire stick starting to lag and lock up so i wanted more power. Looking at the Nvidia Shield which is close in price and does less so Xbox One is a no brainer for TV box over other options out there. Not going to knock a star off but just like Siri i am not a fan of Cortana either Google is just leagues above these two speach apps when it comes to understanding what you're saying to it. Alexa is pretty good too. PDP Talon Media Remote Control for Xbox One, TV, Blu-ray & Streaming Media. Get that remote",2 people found this helpful
Amber W.,2.0 out of 5 stars,FALSE ADVERTISEMENT,the United States ,April 7 2019,Verified Purchase,"  So, on the side of the xbox box, there is a list of what all comes with the system. Mine said that there was a free month of xbox game pass but there wasnt any papers other than a manual and the warranty information. When the xbox was all set-up, I got a notification where I could sign up for a month for $1, but that isn't FREE. Normally amazon is pretty spot on with the descriptions of their products, but I will never buy a system like this on amazon again. Also, where is all the paperwork you get with a new system? And the year this system was brought out wasn't 2017 like it says, its actually 2016.",4 people found this helpful
Micah Kiter,1.0 out of 5 stars,"Used product, warranty out of date, not what was advertised",the United States ,May 30 2019,Verified Purchase,"  This is NOT a new product.  Box was re-taped with circular tape but not lined up with previous seal.  Different colored controller received.. warranty expired with Microsoft.  Save yourself the headache and whatifs, spend the extra 40 bucks and buy straight from Microsoft.  This seller is a sheister.",6 people found this helpful
