name,score,title,place,date,verified purch,text,upvotes
Amazon Customer,1.0 out of 5 stars,Third is wrong,the United States ,November 25 2020,purchase not verified,  This should be illegal. What a scummy thing to do.,"1,418 people found this helpful"
duwyne,1.0 out of 5 stars,Horrible,the United States ,November 13 2020,purchase not verified,  Hope you never sell them,"1,734 people found this helpful"
Jose C,1.0 out of 5 stars,Wait for the stock to replenish,the United States ,November 14 2020,purchase not verified,"  Wait for the stock to replenish, all games are backwards compatible. don't feed the Trolls","1,313 people found this helpful"
Dustwaj,1.0 out of 5 stars,Overpriced,the United States ,November 25 2020,purchase not verified,"  How dare you Amazon!  $1,500.00?  Thats not cool dude.",871 people found this helpful
Jason Japa,1.0 out of 5 stars,Overpriced,the United States ,November 25 2020,purchase not verified,  annoying,793 people found this helpful
SP,1.0 out of 5 stars,WE ARE THE BETA TESTERS,the United States ,November 25 2020,purchase not verified,"  I get it. Supply and demand, but seriously? Literally triple the price? PC master race... here I come... Get a nitro 5 instead of this deal. The entire reason consoles were so popular were the affordability. By all means, if you can buy it, it's a great machine. It seems like we are all beta testers and game companies are just releasing garbage games and fixing the issues on their time... simple fixes take months not days. Smh.",643 people found this helpful
blake,1.0 out of 5 stars,How does amazon allow this?,the United States ,December 7 2020,purchase not verified,  $1400? Really? I hope you end up stuck with them.How does amazon allow this type of activity?,465 people found this helpful
Stephen J Morley,5.0 out of 5 stars,"It’s huge, but it’s awesome.",the United States ,November 10 2020,Verified Purchase,"  It’s a behemoth simple put. Besides that it is a really amazing console. Just setting it up and downloading a few games for my son, I could really notice the download speed and performance upgrades. Does not run hot so far it has been running terratech in 4K hdr for about half hour. See picture. The Xbox one x would easily hit 150 degrees Fahrenheit.",367 people found this helpful
Meghan Pennington,5.0 out of 5 stars,I'm genuinely blown away.,the United States ,November 10 2020,Verified Purchase,"  Let me start off by saying I am not an Xbox fan boy lol. I have mostly played PS4 and PC  in the past few years. I was very intrigued with Xbox series X because of the user experience. They really seem like they were listening with this generation and it shows. The UI interface is like butter it moves so quickly, with hardly any waiting. Game pass which is an amazing option only on Xbox and PC has an amazing selection of games right at my fingertips for a monthly fee. Xbox really got the user experience down I can honestly say that it was definitely worth it. I've been enjoying a lot of games that I played on PC and I am confident in saying that I have such a great experience on Xbox series X I'm blown away. It gets a little hot but I have it in a very breathable location. ( I would recommend that as well ) I'm excited to play all the Xbox one games I missed out on! (And new games of course) Overall I really recommend it.",174 people found this helpful
Brenda H.,1.0 out of 5 stars,Should Be Illegal,the United States ,November 25 2020,purchase not verified,"  Microsoft should try to get control over this.  Should be illegal for one person to secure 7 and rip people off like this while everyone tries over and over to get one, but can't.",177 people found this helpful
Taylor Kornberg,3.0 out of 5 stars,"New console, doesn’t feel next gen",the United States ,November 10 2020,Verified Purchase,"  What the console can do is good, but there is no new exclusives games for launch. I feel that’s a huge loss for Microsoft. Not really any reason to get this console until sometime next year when there will be some exclusives. The looks of this console doesn’t feel next gen and not a fan of how the insides are built/put together. Going to be a massive pain to clean this thing.",139 people found this helpful
Scott Dutton,1.0 out of 5 stars,Scummy,the United States ,November 25 2020,purchase not verified,  awful scam to run. Scummy people ruin things.,155 people found this helpful
Gabriel,1.0 out of 5 stars,Insane price,the United States ,November 25 2020,purchase not verified,  A Xbox series x cost $499 not this crazy price.,148 people found this helpful
Jpix,5.0 out of 5 stars,It does everything except clean the dishes,the United States ,November 10 2020,Verified Purchase,  Tons of PowerGamepassHaloWhat more can a man want?We are living in trying times Xbox will help keep our minds busySolid build and lightening fast UIOri looks gorgeous!,122 people found this helpful
tigmaster,1.0 out of 5 stars,Third party plague,the United States ,November 15 2020,purchase not verified,"  These people are the lowest of low,just praying on people the worst of humanity.",131 people found this helpful
Kindle Customer,5.0 out of 5 stars,Xbox Series X Review,the United States ,November 10 2020,Verified Purchase,"  To start off I would consider myself not a pro gamer, but definitely not a casual. I’m some where in between hardcore & Pro gamer. I got some insight on specs etc. This review will not be about the specs because we already know it’s damn better than last gen console Xbox One X.After a terrible, terrible, terrible...... the worst preorder experience of my life. I’m not joking. This generation of consoles preorders will go down in gaming history infamy because how bad it was, especially during our pandemic. I was as excited as I ever could be to receive this item as if I was a child all over again. And to top it all off it came 9 hours earlier on release day! I call that a significant win for preorder delivery, since this is my first time preordering a console online.Now for what your really here for, the console review. Personally, I love it. Load times are significantly faster! Games look so damn good! And total backwards compatibility with this console made me cry tears of joy. A true 4k experience. Something last generation promised us that didn’t happen.Now not anything is perfect. The one huge downside is there are no new games for this system yet. Usually there will be about 5 to 10 day one (some exclusive only to console) games. This year there’s basically 0. Yes, the positive spin on this is you have a while back catalog of older games you can play on this newer system and see the graphics ramped up. But as an avid gamer I am a Little disappointed that Microsoft the back big time even during pandemic that they couldn’t even offer at least 3 day one games. Sony is the same. These consoles will not have new games coming out day 1 unfortunately. We’ll have to wait till a little more in 2021 to expect the games we really want.If you want a more in-depth review you can head right on over to my YouTube channel where you can see an extensive review on the console today at 8pm central standard time. My dad and puppy will be on. It’l is going to be hilarious and cute. My channels name is Clive Childress. Come check it out of your interested to know more.All in all though this console is stellar. And I can’t fault the company for the pandemic situations. So with all that said this is a pretty great console.",92 people found this helpful
Code Missing,1.0 out of 5 stars,Scalpers should not be rewarded.,the United States ,December 9 2020,purchase not verified,  This is way more than the item sells for.,102 people found this helpful
Nick M.,1.0 out of 5 stars,Shouldn’t even be legal to do this.,the United States ,November 15 2020,purchase not verified,  Absolutely a complete rip off!!,93 people found this helpful
Brian A Offord,5.0 out of 5 stars,Totally worth it,the United States ,November 10 2020,Verified Purchase,  Preorders were a mess but did you really expect them not to be? With that being said this thing is amazing totally worth it,64 people found this helpful
Customer ,1.0 out of 5 stars,Absurd Price,the United States ,November 15 2020,purchase not verified,  What a rip off for the price. Not worth the money.,80 people found this helpful
E.S.,1.0 out of 5 stars,Rip off,the United States ,November 15 2020,purchase not verified,  Seems dishonest,77 people found this helpful
Neal B,1.0 out of 5 stars,seriously?,the United States ,December 9 2020,purchase not verified,  3x....pls don't fall for these scams.,75 people found this helpful
A. Yates,1.0 out of 5 stars,Lemon,the United States ,November 13 2020,Verified Purchase,"  Sad to give this a poor review.  I received a launch day unit which worked for three days and apparently died overnight.  No obvious reason for the death of the system but it simply won't turn on again.  MS support is sadly poor - just a circular loop back to the same canned and deficient ""support"" page, and an option to request a repair on the unit.  Says there's 24 hour online support, but I can't actually get it for this issue.  Likely returning it instead of requesting a repair.Prior to the hardware failure I was happy with the system.  As expected, load times were quite good, games looked great and were fluid.",34 people found this helpful
Amazon Customer,1.0 out of 5 stars,Stopped working less than 4hrs after got it.,the United States ,November 11 2020,Verified Purchase,  Everything was great then it just turned off and now it will not come back on. Called Microsoft and they were no help at all. I have always had Xbox and have not had any real issues until now.Now when looking online you can find all kinds of people with the same issue.,35 people found this helpful
Shawn P Vigneri,1.0 out of 5 stars,Launch day console = expensive brick,the United States ,November 11 2020,Verified Purchase,"  I was very excited to receive my console on launch day after waiting 2 months from the pre-order. I was able to setup the console but it quickly died. The screen started flashing green then it shut off. After that it would either boot and then shut off after a minute or not boot at all. Lesson learned, don't buy the first generation of Microsoft's products!",30 people found this helpful
Kris W,1.0 out of 5 stars,Don't buy digital games. Not possible for kids to play while I am.,the United States ,November 23 2020,Verified Purchase,"  Over the years, I've invested in digital licenses for games.  felt like the future.  When the series x came out, I decided to give my xbox one S to my kids so they could play their games.  If we try to play at the same time, even though it is not the same game, we aren't allowed.  Okay... surely it will work if I sign in with my Kid's xbox live account that is connected to mine through family controls right?  Nope.  Maybe there is a way to loan the game or transfer the license?  Nope.  Basically I'm SOL, and will be looking for physical used games this holiday season for my kids.  The technology is ready for digital licensing, but MS is not.  I suggest buying physical (preferably used so it hurts their bottom line) until they empower digital owners.The series x itself has been fine.  Crashing a fair amount, but for now I blame that on COD:Cold War",26 people found this helpful
